codedesc,violationdesc,ratio
Vietnamese/Cambodian/Malaysia,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.947838699561262
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Other general violation.,0.947179027077482
Delicatessen,Live roaches present in facility's food and/or non-food areas.,0.946910383749522
Indian,Food contact surface not properly maintained.,0.945548976148731
Pizza/Italian,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,0.943865633107518
Bakery,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,0.943793271574842
Spanish,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.943772909441959
Mediterranean,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.942130834916729
Italian,Live roaches present in facility's food and/or non-food areas.,0.94130494244548
Spanish,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.940795854658917
Mediterranean,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.940778427238641
American,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.940300527383786
Bakery,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,0.938811121764142
Mexican,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.938695004024377
Tex-Mex,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.937656477344433
Pizza,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,0.93643272547049
Greek,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.93586740607567
American,No facilities available to wash rinse and sanitize utensils and/or equipment.,0.93436605622969
"Ice Cream, Gelato, Yogurt, Ices",Food not protected from potential source of contamination during storage preparation transportation display or service.,0.933972734859233
Pizza/Italian,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.933117504234904
Chicken,Hot food item not held at or above 140º F.,0.933015260928584
Pizza/Italian,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.932699071588392
American,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.931678036844407
Thai,Hot food item not held at or above 140º F.,0.930905026073725
Japanese,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.929781770655839
Mediterranean,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.92771609224159
Japanese,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,0.927281659444538
French,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.926014494180214
Café/Coffee/Tea,Single service item reused improperly stored dispensed; not used when required.,0.925698241292501
Japanese,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.925341252058967
Asian,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.925236396353792
Chicken,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,0.925080959455328
Pizza/Italian,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,0.925030410328673
Jewish/Kosher,Wiping cloths soiled or not stored in sanitizing solution.,0.925012905495713
Bakery,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,0.923886101203071
Italian,Wiping cloths soiled or not stored in sanitizing solution.,0.922778565700616
Delicatessen,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.922481535956606
Bakery,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,0.922411270191949
Russian,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.922330269054325
Japanese,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,0.922090260316799
Japanese,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,0.921774446145063
Italian,Thawing procedures improper.,0.921547029354736
Greek,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.921130816237801
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,0.920547075549021
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.917467891272831
Caribbean,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.917403535940121
Continental,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.917169723296645
Donuts,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.916810503727087
Middle Eastern,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.915787932403924
Sandwiches,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.914867814698035
Italian,Covered garbage receptacle not provided or inadequate except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,0.914769406953689
American,Lighting inadequate; permanent lighting not provided in food preparation areas ware washing areas and storage rooms.,0.913643604800564
Pizza,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,0.913643479222288
Mediterranean,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.909786534552454
Spanish,Wiping cloths soiled or not stored in sanitizing solution.,0.909597254233242
Spanish,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.909025194850783
Seafood,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.907115676544388
Middle Eastern,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.90615914976091
Tex-Mex,Hot food item not held at or above 140º F.,0.905961629412462
Greek,Hot food item not held at or above 140º F.,0.905870785626944
Japanese,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.905131602851165
American,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.904889541495132
Pizza,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.904531691640917
Korean,Hot food item not held at or above 140º F.,0.903442190433166
Thai,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.901859061687764
Korean,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.9017677173311
Indian,Food Protection Certificate not held by supervisor of food operations.,0.901270074813495
Vietnamese/Cambodian/Malaysia,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.899238945902204
Middle Eastern,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.898318528994545
Bakery,Single service item reused improperly stored dispensed; not used when required.,0.895878063972447
American,Covered garbage receptacle not provided or inadequate except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,0.894843860900998
Korean,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.894754489844421
Pizza/Italian,Live roaches present in facility's food and/or non-food areas.,0.893366659265562
Café/Coffee/Tea,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,0.892363132643693
Bakery,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.892275169229138
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Food not protected from potential source of contamination during storage preparation transportation display or service.,0.892255630368131
Seafood,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.891842578831749
Italian,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,0.889469995782627
Pizza/Italian,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.888871641925894
Italian,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.887127235615558
Italian,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours and from 70º F to 41º F or less within 4 additional hours.,0.887011108845355
"Juice, Smoothies, Fruit Salads",Food not protected from potential source of contamination during storage preparation transportation display or service.,0.886980049326077
Korean,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.886695433069947
American,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours and from 70º F to 41º F or less within 4 additional hours.,0.883962578832676
Pizza,Live roaches present in facility's food and/or non-food areas.,0.881016604992439
Spanish,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.880176420118459
American,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.880008720181694
Seafood,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.879646211543703
Japanese,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.878532883631994
Chinese/Japanese,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.878443487257419
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.878342373400159
French,Wiping cloths soiled or not stored in sanitizing solution.,0.877210301432721
Peruvian,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.877094028392858
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Proper sanitization not provided for utensil ware washing operation.,0.87682647102891
Thai,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.876780058891678
Sandwiches,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.876360993299976
Chinese,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,0.875641505624453
Italian,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.874153800327479
Asian,Food Protection Certificate not held by supervisor of food operations.,0.873904982911618
Korean,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.873486000469047
Asian,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.872906238109993
Café/Coffee/Tea,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,0.872700064361841
Pizza/Italian,Food Protection Certificate not held by supervisor of food operations.,0.871252406320805
Pizza,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,0.870565211545025
Mexican,Single service item reused improperly stored dispensed; not used when required.,0.87009409546642
Café/Coffee/Tea,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.869662012007824
Delicatessen,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.86797205074798
Café/Coffee/Tea,Wiping cloths soiled or not stored in sanitizing solution.,0.867733124404914
American,Tobacco use eating or drinking from open container in food preparation food storage or dishwashing area observed.,0.867221902859751
Irish,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.865542812760367
Mexican,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,0.865340416320383
Bakery,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.86506381174282
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Accurate thermometer not provided in refrigerated or hot holding equipment.,0.864488119025202
Middle Eastern,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.864483511587565
Caribbean,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.864031516024749
Thai,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.863833800141629
Mexican,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.863617405138466
Mexican,Accurate thermometer not provided in refrigerated or hot holding equipment.,0.86347488416324
Irish,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.863332315382275
Spanish,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.863037608900832
French,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.862677682193065
Sandwiches/Salads/Mixed Buffet,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.862600556962331
French,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.862389383030616
"Juice, Smoothies, Fruit Salads",Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.860553997519449
Spanish,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.858135690555308
Café/Coffee/Tea,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.856853128777402
Indian,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.856406622431231
Korean,Live roaches present in facility's food and/or non-food areas.,0.853060541926397
Vietnamese/Cambodian/Malaysia,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.852991607493379
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.852510952316118
Bakery,Food Protection Certificate not held by supervisor of food operations.,0.851862817665927
Peruvian,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.849679291476111
Café/Coffee/Tea,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.849454453628691
Café/Coffee/Tea,Food contact surface not properly maintained.,0.849277945509439
Café/Coffee/Tea,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.844279675643129
Middle Eastern,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.840405016229638
Indian,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.838677058605211
African,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.838004360027925
American,Wiping cloths soiled or not stored in sanitizing solution.,0.837570279788912
Japanese,Food contact surface not properly maintained.,0.836714040697931
Italian,Evidence of rats or live rats present in facility's food and/or non-food areas.,0.835551290445522
Delicatessen,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.833416629623158
Bakery,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.833202600333101
Italian,Accurate thermometer not provided in refrigerated or hot holding equipment.,0.832899882928679
Bakery,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.832437419842961
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.832308740399299
Italian,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking cooling reheating and holding.,0.832269786254401
American,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65º F or above within 2 hours.,0.830110475218798
Indian,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.826957060913652
Hamburgers,Live roaches present in facility's food and/or non-food areas.,0.82578732075283
Japanese,Accurate thermometer not provided in refrigerated or hot holding equipment.,0.825516037564392
Café/Coffee/Tea,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,0.825502122372917
Italian,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,0.824928667384397
Pizza,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.824705513540538
Italian,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.824425224233889
Spanish,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,0.822829409948318
Turkish,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.818244726623536
Delicatessen,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,0.81629705215243
Steak,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.812701237510866
Mexican,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.807059150990775
Asian,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.806105086861628
Jewish/Kosher,Food Protection Certificate not held by supervisor of food operations.,0.805970518877659
American,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,0.8052688482239
"Juice, Smoothies, Fruit Salads",Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.804527282520056
American,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,0.800549018909695
Tex-Mex,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.800473006155256
Jewish/Kosher,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.799968215568937
Chinese,Covered garbage receptacle not provided or inadequate except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,0.798966287061382
Pizza,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.796646337594423
Chicken,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.79565659528741
Italian,Mechanical or natural ventilation system not provided improperly installed in disrepair and/or fails to prevent excessive build-up of grease heat steam condensation vapors odors smoke and fumes.,0.795480504016154
Sandwiches/Salads/Mixed Buffet,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.793927305887003
"Ice Cream, Gelato, Yogurt, Ices",Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.791624838663416
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Canned food product observed dented and not segregated from other consumable food items.,0.789232752409256
Donuts,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.787973730630764
Thai,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.781897751832453
Japanese,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.779821992582654
Sandwiches/Salads/Mixed Buffet,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.77883658136969
Café/Coffee/Tea,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.777533524630284
Chinese,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.773120882103495
Hamburgers,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.770929066243579
Japanese,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,0.770316678878748
Pizza,Proper sanitization not provided for utensil ware washing operation.,0.768871725817884
Other,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0.765237015981712
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,0.762616759605888
Eastern European,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.7617031136781
"Ice Cream, Gelato, Yogurt, Ices",Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.760608497216161
Pizza/Italian,Wiping cloths soiled or not stored in sanitizing solution.,0.757075753209078
Asian,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.755985862225462
Pizza,Evidence of rats or live rats present in facility's food and/or non-food areas.,0.754211473782136
Mediterranean,Hot food item not held at or above 140º F.,0.753807546035444
Eastern European,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,0.749125580174183
Chinese,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours and from 70º F to 41º F or less within 4 additional hours.,0.747053344200669
Chinese,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0.746642468818064
Bakery,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,0.746246062944063
Pizza/Italian,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.743714617685595
Pizza,Wiping cloths soiled or not stored in sanitizing solution.,0.742858305681976
Pizza/Italian,Food contact surface not properly maintained.,0.74007591433613
French,Live roaches present in facility's food and/or non-food areas.,0.738287653324463
Jewish/Kosher,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.73233714747211
Pizza,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.730260368797346
Caribbean,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,0.727619453794952
Chinese,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,0.726475369790087
Delicatessen,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.724929323002799
Bakery,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.72260076725545
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,0.718679171691615
Chicken,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.718549354171126
Donuts,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.713812468430025
Seafood,Hot food item not held at or above 140º F.,0.713251111641554
American,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,0.712670420079017
Chinese,Other general violation.,0.708662843063222
Sandwiches/Salads/Mixed Buffet,Hot food item not held at or above 140º F.,0.708492722199428
Sandwiches,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.706924111890811
Italian,Hot food item not held at or above 140º F.,0.702359254621872
Delicatessen,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.699424076534615
Pizza/Italian,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.699075129866379
Mexican,Hot food item not held at or above 140º F.,0.698613923053013
Delicatessen,Food Protection Certificate not held by supervisor of food operations.,0.697483705860847
African,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.696836222320245
Irish,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.693941140213608
Pizza,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours and from 70º F to 41º F or less within 4 additional hours.,0.692831373600299
Japanese,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,0.692638273371841
